id,ts,question,city,signal,token_id,price,size,spend,ev,ev_dollar,kelly,our_prob,mkt_price,sigma,mode,clob_spread,clob_edge_at_fill,resolved,resolution_price,pnl,won,resolved_at,meta
228,2026-04-06T06:13:18.546085+00:00,Will the highest temperature in Sao Paulo be 27°C on April 7?,Sao Paulo,BUY YES,22760905414065770153701351061502394711541360122501776451103563239690093864715,0.06,18.0,1.08,13.6,377.8,14.1,17.2,3.6,,PAPER,13.7,210.6,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 13.6, ""spread_pct"": 13.7, ""depth_usd_side"": 4.18, ""price_cents"": 6.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": 0.0, ""bias_confidence"": ""none"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 2.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 7.0, ""size_mult_used"": 0.5, ""station_rmse"": 0.93, ""station_n"": 0, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 1.04, ""spend_pre_cap"": 2.75, ""meta_proof_bypass"": false}"
229,2026-04-06T07:03:59.002489+00:00,Will the highest temperature in San Francisco be between 58-59°F on April 7?,San Francisco,BUY YES,42550944463685494990898157630713142589510417662224849505980570550475964332046,0.09,12.0,1.08,13.2,191.3,14.2,20.1,6.9,,PAPER,45.0,124.8,,,,,,"{""data_quality"": ""good"", ""edge_pp"": 13.2, ""spread_pct"": 45.0, ""depth_usd_side"": 3.96, ""price_cents"": 9.0, ""station_confidence"": 2.0, ""obs_age_minutes"": null, ""bias_correction_f"": -0.51, ""bias_confidence"": ""low"", ""sigma_floor_used"": 1.0, ""ev_addon_used"": 2.0, ""min_ev_base_pp"": 5.0, ""min_ev_final_pp"": 7.0, ""size_mult_used"": 0.7, ""station_rmse"": 3.151, ""station_n"": 5, ""penalty_cap_hit"": false, ""station_drifting"": false, ""drift_shift_f"": 0.0, ""ev_addon_reasons"": [""LOW_N""], ""depth_cap_applied"": true, ""depth_cap_value_usd"": 0.99, ""spend_pre_cap"": 7.7, ""meta_proof_bypass"": false}"
230,2026-04-06T09:00:51.235630+00:00,Will the highest temperature in Singapore be 24°C or below on April 7?,Singapore,GFS_DELTA_YES,11841277031021464686294703582028398934364284327504601037643812748216204224154,0.001,15.0,0.015,88.6,13.29,0.0,94.5,0.1,,PAPER,,,,,,,,{}
231,2026-04-06T09:00:51.325856+00:00,Will the highest temperature in Buenos Aires be 16°C on April 7?,Buenos Aires,GFS_DELTA_YES,9239779384335562509676214917528992660967562459979038004780382250042665797672,0.002,13.32,0.02664,13.3,1.77,0.0,10.4,0.2,,PAPER,,,,,,,,{}
232,2026-04-06T14:39:30.203151+00:00,Will the highest temperature in Seattle be 53°F or below on April 7?,Seattle,OBS_CONFIRM_YES,91712929676267889599016334529691716571515117227310961143615231097132589444519,0.155,12.0,1.8599999999999999,54.5,6.54,0.0,70.0,15.5,,PAPER,,,,,,,,{}
233,2026-04-06T21:01:12.199301+00:00,EXIT: Beijing | OBS_PASSED: obs=42.8F > bin_hi=1F and cooling,Beijing,EXIT_SELL_ALL,93062708670233253111350818491065170924150528320677483561723472850586264602718,0.18,7.0,1.26,0.0,0.0,0.0,0.0,18.0,,PAPER,,,,,,,,{}
234,2026-04-06T21:01:12.209691+00:00,EXIT: Tokyo | OBS_PASSED: obs=64.4F > bin_hi=1F and cooling,Tokyo,EXIT_SELL_ALL,77287437388602254619860672742890137911607516839512484721734903369888748653588,0.11,11.0,1.21,0.0,0.0,0.0,0.0,11.0,,PAPER,,,,,,,,{}
235,2026-04-06T21:01:12.211175+00:00,EXIT: Paris | OBS_PASSED: obs=55.4F > bin_hi=1F and cooling,Paris,EXIT_SELL_ALL,91807959397381744988889241821416380425558849699333842742904291476705266829749,0.015,25.0,0.375,0.0,0.0,0.0,0.0,1.5,,PAPER,,,,,,,,{}
236,2026-04-06T21:01:12.213260+00:00,EXIT: Beijing | OBS_PASSED: obs=42.8F > bin_hi=1F and cooling,Beijing,EXIT_SELL_ALL,52559858945223204285610082965251896120426680161575582384609878141717746069571,0.04,10.0,0.4,0.0,0.0,0.0,0.0,4.0,,PAPER,,,,,,,,{}
237,2026-04-06T21:01:12.215292+00:00,EXIT: Buenos Aires | OBS_PASSED: obs=64.4F > bin_hi=1F and cooling,Buenos Aires,EXIT_SELL_ALL,105464026784211286156861400274357601755148330625013004633684227457504927619216,0.003,66.0,0.198,0.0,0.0,0.0,0.0,0.3,,PAPER,,,,,,,,{}
238,2026-04-06T21:01:12.217036+00:00,EXIT: Seattle | OBS_PASSED: obs=69.1F > bin_hi=1F and cooling,Seattle,EXIT_SELL_ALL,71035838157453938730304087969757588376549171974339809445045644121638399923571,0.4,20.0,8.0,0.0,0.0,0.0,0.0,40.0,,PAPER,,,,,,,,{}
239,2026-04-06T21:01:12.218874+00:00,EXIT: Moscow | OBS_PASSED: obs=35.6F > bin_hi=1F and cooling,Moscow,EXIT_SELL_ALL,78061931438399592600108320684853882340090123802582059985489979910224842415797,0.015,15.0,0.22499999999999998,0.0,0.0,0.0,0.0,1.5,,PAPER,,,,,,,,{}
240,2026-04-06T21:01:12.220595+00:00,EXIT: Toronto | OBS_PASSED: obs=41.0F > bin_hi=1F and cooling,Toronto,EXIT_SELL_ALL,70760400978258704431054022067065563859314382898767320861196560078182275100588,0.008,15.0,0.12,0.0,0.0,0.0,0.0,0.8,,PAPER,,,,,,,,{}
241,2026-04-06T21:01:12.223238+00:00,EXIT: Toronto | OBS_PASSED: obs=41.0F > bin_hi=1F and cooling,Toronto,EXIT_SELL_ALL,106880890728946451902344391360019206465878443837477461080515264676003058109604,0.018,15.0,0.26999999999999996,0.0,0.0,0.0,0.0,1.8,,PAPER,,,,,,,,{}
242,2026-04-06T21:01:12.225131+00:00,EXIT: Moscow | OBS_PASSED: obs=35.6F > bin_hi=1F and cooling,Moscow,EXIT_SELL_ALL,55515785989561382129602807591668276650198300211256333284225155867601517387358,0.002,12.5,0.025,0.0,0.0,0.0,0.0,0.2,,PAPER,,,,,,,,{}
243,2026-04-06T21:01:12.226996+00:00,EXIT: Seattle | OBS_PASSED: obs=69.1F > bin_hi=1F and cooling,Seattle,EXIT_SELL_ALL,14325596691631059304266705556233093201335995181939962778130887571204399035390,0.32,20.0,6.4,0.0,0.0,0.0,0.0,32.0,,PAPER,,,,,,,,{}
244,2026-04-06T21:01:12.227533+00:00,EXIT: Sao Paulo | OBS_PASSED: obs=78.8F > bin_hi=1F and cooling,Sao Paulo,EXIT_SELL_ALL,22760905414065770153701351061502394711541360122501776451103563239690093864715,0.023,18.0,0.414,0.0,0.0,0.0,0.0,2.3,,PAPER,,,,,,,,{}
245,2026-04-06T21:01:12.228307+00:00,EXIT: San Francisco | OBS_PASSED: obs=62.1F > bin_hi=1F and cooling,San Francisco,EXIT_SELL_ALL,42550944463685494990898157630713142589510417662224849505980570550475964332046,0.02,12.0,0.24,0.0,0.0,0.0,0.0,2.0,,PAPER,,,,,,,,{}
